Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
2.425326500,0,1,1,0,0
2.425326750,0,1,1,1,0
2.425327000,0,1,1,0,0
2.425327250,0,1,1,1,0
2.425327500,0,1,1,0,0
2.425327750,0,1,1,1,0
2.425328000,0,1,1,0,0
2.425328250,0,1,1,1,0
2.425328500,0,1,1,0,0
2.425328750,0,1,1,1,0
2.425329000,0,1,1,0,0
2.425329250,0,1,1,1,0
2.425329500,0,1,1,0,0
2.425329750,0,1,1,1,0
2.425330000,0,1,1,0,0
2.425330250,0,1,1,1,0
2.425330500,0,1,1,1,1
2.425332500,0,1,1,0,0
2.425332750,0,1,1,1,0
2.425333000,0,1,1,0,0
2.425333250,0,1,1,1,0
2.425333500,0,1,1,0,0
2.425333750,0,1,1,1,0
2.425334000,0,1,1,0,0
2.425334250,0,1,1,1,0
2.425334500,0,1,1,0,0
2.425334750,0,1,1,1,0
2.425335000,0,1,1,0,0
2.425335250,0,1,1,1,0
2.425335500,0,1,1,0,0
2.425335750,0,1,1,1,0
2.425336000,0,1,1,0,0
2.425336250,0,1,1,1,0
2.425336500,0,1,1,1,1
2.425338500,0,1,1,0,0
2.425338750,0,1,1,1,0
2.425339000,0,1,1,0,0
2.425339250,0,1,1,1,0
2.425339500,0,1,1,0,0
2.425339750,0,1,1,1,0
2.425340000,0,1,1,0,0
2.425340250,0,1,1,1,0
2.425340500,0,1,1,0,0
2.425340750,0,1,1,1,0
2.425341000,0,1,1,0,0
2.425341250,0,1,1,1,0
2.425341500,0,1,1,0,0
2.425341750,0,1,1,1,0
2.425342000,0,1,1,0,0
2.425342250,0,1,1,1,0
2.425342500,0,1,1,1,1
2.425344500,0,1,1,0,0
2.425344750,0,1,1,1,0
2.425345000,0,1,1,0,0
2.425345250,0,1,1,1,0
2.425345500,0,1,1,0,0
2.425345750,0,1,1,1,0
2.425346000,0,1,1,0,0
2.425346250,0,1,1,1,0
2.425346500,0,1,1,0,0
2.425346750,0,1,1,1,0
2.425347000,0,1,1,0,0
2.425347250,0,1,1,1,0
2.425347500,0,1,1,0,0
2.425347750,0,1,1,1,0
2.425348000,0,1,1,0,0
2.425348250,0,1,1,1,0
2.425348500,0,1,1,1,1
2.425350500,0,1,1,0,0
2.425350750,0,1,1,1,0
2.425351000,0,1,1,0,0
2.425351250,0,1,1,1,0
2.425351500,0,1,1,0,0
2.425351750,0,1,1,1,0
2.425352000,0,1,1,0,0
2.425352250,0,1,1,1,0
2.425352500,0,1,1,0,0
